REFERENCE: tag,REFERENCE: doi,FORMULA,Internal Reference #,Original DOI,PROPERTY: Type of phases,PROPERTY: Single/Multiphase,PROPERTY: synthesis method,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: comment,
J4-18,10.1016/j.actamat.2017.03.069,Co10Cr10Fe50Mn30,18,10.1016/j.actamat.2017.03.069,FCC + HCP,M,CR + A,15,,,T,25,350,830,63,,,,,,switched to engineering stress strain ,
J4-34,10.1038/s41598-017-16509-9,Co10Cr10Fe50Mn30,34,10.1038/s41598-017-16509-9,FCC + HCP,M,HR + A,6.5,,,T,25,298,1400,45,,,,,,removed true stress strain values,
J4-34,10.1038/s41598-017-16509-9,Co10Cr10Fe50Mn30,34,10.1038/s41598-017-16509-9,FCC + HCP,M,HR + A,5.2,,,T,25,400,1200,42,,,,,,removed true stress strain values,
J4-60,10.1016/j.matlet.2017.04.072,Al7Co23Cr23Fe23Ni23,60,10.1016/j.matlet.2017.04.072,FCC + B2,M,,0.7,,,T,25,860,1050,48,,,,,,"Data extracted from Table 6, does not belong in below data",
J4-60,10.1016/j.matlet.2017.04.072,Al7Co23Cr23Fe23Ni23,60,10.1016/j.matlet.2017.04.072,FCC + B2,M,,2.7,,,T,25,690,930,51,,,,,,,
J4-60,10.1016/j.matlet.2017.04.072,Al7Co23Cr23Fe23Ni23,60,10.1016/j.matlet.2017.04.072,FCC + B2,M,,3.8,,,T,25,550,800,64,,,,,,,
J4-60,10.1016/j.matlet.2017.04.072,Al7Co23Cr23Fe23Ni23,60,10.1016/j.matlet.2017.04.072,FCC,S,,53,,,T,25,260,620,87,,,,,,,
J4-60,10.1016/j.matlet.2017.04.072,Al7Co23Cr23Fe23Ni23,60,10.1016/j.matlet.2017.04.072,FCC + BCC,M,CR + A,,,,,,,,,,,,,,,
J4-40,10.1016/j.scriptamat.2016.06.019,Al7Co23Cr23Fe23Ni23,40,10.1016/j.scriptamat.2016.06.019,FCC,S,CR + A,,,,,,,,,,,,,,,
J4-40,10.1016/j.scriptamat.2016.06.019,Al7Co23Cr23Fe23Ni23,40,10.1016/j.scriptamat.2016.06.019,FCC + L12,M,CR + A,,,,,,,,,,,,,,,
J4-40,10.1016/j.scriptamat.2016.06.019,Al7Co23Cr23Fe23Ni23,40,10.1016/j.scriptamat.2016.06.019,FCC + L12,M,CR + A,,,,,,,,,,,,,,,
J4-39,10.1016/j.matdes.2017.02.072,Al7Co23Cr23Fe23Ni23,39,10.1016/j.matdes.2017.02.072,FCC,S,CR + A,144,,,T,25,159,410,65,,,,,,,
J4-39,10.1016/j.matdes.2017.02.072,Al7Co23Cr23Fe23Ni23,39,10.1016/j.matdes.2017.02.072,FCC + B2,M,CR + A,144,,,T,25,215,520,43,,,,,,,
J4-39,10.1016/j.matdes.2017.02.072,Al7Co23Cr23Fe23Ni23,39,10.1016/j.matdes.2017.02.072,FCC + L12,M,CR + A,144,,,T,25,285,540,55,,,,,,,
J4-39,10.1016/j.matdes.2017.02.072,Al7Co23Cr23Fe23Ni23,39,10.1016/j.matdes.2017.02.072,FCC,S,CR + A,23,,,T,25,263,589,60,,,,,,,
J4-39,10.1016/j.matdes.2017.02.072,Al7Co23Cr23Fe23Ni23,39,10.1016/j.matdes.2017.02.072,FCC + L12 + B2,M,CR + A,23,,,T,25,490,840,45,,,,,,,
J4-61,10.1016/j.actamat.2017.03.066,Al7Co23Cr23Fe23Ni23,61,10.1016/j.actamat.2017.03.066,FCC + BCC,M,A,,,,,,,,,,,,,,,
J4-62,10.1016/j.jallcom.2008.12.088,Al7Co23Cr23Fe23Ni23,62,10.1016/j.jallcom.2008.12.088,FCC + L12,M,AC,,,,T,25,175,335,58,,,,,,Added and replaced data sets,
J4-62,10.1016/j.jallcom.2008.12.088,Al7Co23Cr23Fe23Ni23,62,10.1016/j.jallcom.2008.12.088,FCC + L12,M,A,,,,T,25,305,525,44,,,,,,,
J4-62,10.1016/j.jallcom.2008.12.088,Al7Co23Cr23Fe23Ni23,62,10.1016/j.jallcom.2008.12.088,FCC + B2,M,A,,,,T,25,280,570,44,,,,,,,
J4-63,10.1016/j.jallcom.2013.11.084,Al7Co23Cr23Fe23Ni23,63,10.1016/j.jallcom.2013.11.084,FCC,S,Aged,,,,,,,,,,,,,,,
J4-63,10.1016/j.jallcom.2013.11.084,Al7Co23Cr23Fe23Ni23,63,10.1016/j.jallcom.2013.11.084,FCC,S,Aged,,,,,,,,,,,,,,,
J4-64,10.1016/j.matdes.2016.05.079,Al7Co23Cr23Fe23Ni23,64,10.1016/j.matdes.2016.05.079,FCC + B2,M,Aged,,,,,,,,,,,,,,,
J4-71,10.1016/j.jallcom.2017.03.307,AlCoCrFeNi,71,10.1016/j.jallcom.2017.03.307,BCC + B2,M,AC,,,,T,25,395,400,1,,,,,,I don't like this reference...,
J4-70,10.1016/j.jallcom.2016.05.034,AlCoCrFeNi,70,10.1016/j.jallcom.2016.05.034,BCC + B2,M,AC,,,,C,25,1380,,10,,,,,,,
J4-70,10.1016/j.jallcom.2016.05.034,AlCoCrFeNi,70,10.1016/j.jallcom.2016.05.034,BCC + $\sigma$ + B2 + FCC,M,A,,,,C,25,1430,,1.6,,,,,,,
J4-70,10.1016/j.jallcom.2016.05.034,AlCoCrFeNi,70,10.1016/j.jallcom.2016.05.034,BCC + B2 + FCC,M,A,,,,C,25,1690,,2.7,,,,,,,
J4-70,10.1016/j.jallcom.2016.05.034,AlCoCrFeNi,70,10.1016/j.jallcom.2016.05.034,BCC + B2 + FCC,M,A,,,,C,25,1220,,13,,,,,,,
J4-70,10.1016/j.jallcom.2016.05.034,AlCoCrFeNi,70,10.1016/j.jallcom.2016.05.034,BCC + B2 + FCC,M,A,,,,C,25,1450,,20,,,,,,,
J4-71,10.1016/j.jallcom.2017.03.307,AlCoCrFeNi,71,10.1016/j.jallcom.2017.03.307,FCC + BCC,M,A,,,,T,25,900,935,0.8,,,,,,I don't like this reference...,
J4-73,10.1016/j.matlet.2016.01.096,Al17Cr17Fe33Ni33,73,10.1016/j.matlet.2016.01.096,FCC + BCC + B2,M,AC,,,,T,25,796,1437,15.7,,,,,,,
J4-74,10.1016/j.actamat.2016.11.016,Al17Co17Cr17Fe17Ni33.3,74,10.1016/j.actamat.2016.11.016,L12 + B2,M,,,,,T,25,545,1030,16.5,,,,,,the reference has more accurate numbers: https://sci-hub.tw/https://doi.org/10.1016/j.actamat.2016.11.016,
J4-74,10.1016/j.actamat.2016.11.016,Al16Co16Cr16Fe16Ni34.4,74,10.1016/j.actamat.2016.11.016,L12 + B2,M,,,,,T,25,545,1050,16.5,,,,,,the reference has more accurate numbers: https://sci-hub.tw/https://doi.org/10.1016/j.actamat.2016.11.017,
J4-74,10.1016/j.actamat.2016.11.016,Al16Co16Cr16Fe16Ni35.5,74,10.1016/j.actamat.2016.11.016,L12 + B2,M,,,,,T,25,545,1110,20,,,,,,the reference has more accurate numbers: https://sci-hub.tw/https://doi.org/10.1016/j.actamat.2016.11.018,
J4-74,10.1016/j.actamat.2016.11.016,Al17Co17Cr17Fe17Ni33.3,74,10.1016/j.actamat.2016.11.016,,,,,,,T,-70,580,1034,10.5,,,,,,the reference has more accurate numbers: https://sci-hub.tw/https://doi.org/10.1016/j.actamat.2016.11.019,
J4-74,10.1016/j.actamat.2016.11.016,Al16Co16Cr16Fe16Ni34.4,74,10.1016/j.actamat.2016.11.016,,,,,,,T,-70,595,1168,15.8,,,,,,the reference has more accurate numbers: https://sci-hub.tw/https://doi.org/10.1016/j.actamat.2016.11.020,
J4-74,10.1016/j.actamat.2016.11.016,Al16Co16Cr16Fe16Ni35.5,74,10.1016/j.actamat.2016.11.016,,,,,,,T,-70,570,1143,18,,,,,,the reference has more accurate numbers: https://sci-hub.tw/https://doi.org/10.1016/j.actamat.2016.11.021,
J4-74,10.1016/j.actamat.2016.11.016,Al17Co17Cr17Fe17Ni33.3,74,10.1016/j.actamat.2016.11.016,,,,,,,T,-192,700,1000,4,,,,,,UTS range (low value recorded),
J4-74,10.1016/j.actamat.2016.11.016,Al16Co16Cr16Fe16Ni34.4,74,10.1016/j.actamat.2016.11.016,,,,,,,T,-192,700,1000,7,,,,,,UTS range (low value recorded),
J4-74,10.1016/j.actamat.2016.11.016,Al16Co16Cr16Fe16Ni35.5,74,10.1016/j.actamat.2016.11.016,,,,,,,T,-192,700,1000,9,,,,,,UTS range (low value recorded),
J4-77,10.1016/j.scriptamat.2016.04.014,Al12Co18Cr18Fe35Ni18,77,10.1016/j.scriptamat.2016.04.014,BCC + B2,M,AC,,,,T,25,866,1223,7.9,,,,,,,
J4-77,10.1016/j.scriptamat.2016.04.014,Al12Co18Cr18Fe35Ni18,77,10.1016/j.scriptamat.2016.04.014,,,AC,,,,T,650,400,468,6.3,,,,,,,
J4-77,10.1016/j.scriptamat.2016.04.014,Al12Co18Cr18Fe35Ni18,77,10.1016/j.scriptamat.2016.04.014,,,AC,,,,T,700,220,340,5.4,,,,,,,
J4-77,10.1016/j.scriptamat.2016.04.014,Al12Co18Cr18Fe35Ni18,77,10.1016/j.scriptamat.2016.04.014,,,AC,,,,C,25,1166,,30.2,,,,,,,
J4-85,10.1016/j.scriptamat.2017.05.019,Co35Cr15Fe20Ni20Mo10,85,10.1016/j.scriptamat.2017.05.019,FCC,S,AC,,,,T,25,350,720,21.9,,,,,,wrong processing ,
J4-85,10.1016/j.scriptamat.2017.05.019,Co35Cr15Fe20Ni20Mo10,85,10.1016/j.scriptamat.2017.05.019,FCC + $\mu$,M,CR + A,,,,T,25,1311,1410,12.1,,,,,,wrong processing ,
J4-85,10.1016/j.scriptamat.2017.05.019,Co35Cr15Fe20Ni20Mo10,85,10.1016/j.scriptamat.2017.05.019,FCC + $\mu$,M,CR + A,,,,T,25,1212,1360,14.9,,,,,,wrong processing ,
J4-85,10.1016/j.scriptamat.2017.05.019,Co35Cr15Fe20Ni20Mo10,85,10.1016/j.scriptamat.2017.05.019,FCC + $\mu$,M,CR + A,,,,T,25,1028,1249,18.3,,,,,,wrong processing ,
J4-85,10.1016/j.scriptamat.2017.05.019,Co35Cr15Fe20Ni20Mo10,85,10.1016/j.scriptamat.2017.05.019,FCC + $\mu$,M,CR + A,,,,T,25,879,1194,25.4,,,,,,wrong processing ,
J4-85,10.1016/j.scriptamat.2017.05.019,Co35Cr15Fe20Ni20Mo10,85,10.1016/j.scriptamat.2017.05.019,FCC + $\mu$,M,CR + A,,,,T,25,799,1127,28.2,,,,,,wrong processing ,
J4-85,10.1016/j.scriptamat.2017.05.019,Co35Cr15Fe20Ni20Mo10,85,10.1016/j.scriptamat.2017.05.019,FCC,S,CR + A,,,,T,25,350,918,62.4,,,,,,wrong processing ,
J4-79,10.1016/j.actamat.2016.06.063,Co25Cr25Fe25Ni25,79,10.1016/j.actamat.2016.06.063,FCC,S,AC,,,,T,25,155,472.4,58.9,,,,,,,
J4-79,10.1016/j.actamat.2016.06.063,Co24Cr24Fe24Ni24Mo2,79,10.1016/j.actamat.2016.06.063,,,AC,,,,T,25,198.8,479,51.1,,,,,,,
J4-79,10.1016/j.actamat.2016.06.063,Co24Cr24Fe24Ni24Mo5,79,10.1016/j.actamat.2016.06.063,,,AC,,,,T,25,254.7,589.6,55.1,,,,,,,
J4-79,10.1016/j.actamat.2016.06.063,Co23Cr23Fe23Ni23Mo7,79,10.1016/j.actamat.2016.06.063,FCC + $\sigma$,M,AC,,,,T,25,305.3,709.7,49.3,,,,,,,
J4-79,10.1016/j.actamat.2016.06.063,Co23Cr23Fe23Ni23Mo7,79,10.1016/j.actamat.2016.06.063,FCC + $\mu$ + $\sigma$,M,CR + A,1 - 5,,,T,25,815.5,1186.5,18.9,,,,,,not the actual grain size. precipitate sizes currently recorded,
J4-79,10.1016/j.actamat.2016.06.063,Co23Cr23Fe23Ni23Mo7,79,10.1016/j.actamat.2016.06.063,FCC + $\mu$ + $\sigma$,M,CR + A,0.2 - 6,,,T,25,646.7,1042,32.5,,,,,,,
J4-79,10.1016/j.actamat.2016.06.063,Co23Cr23Fe23Ni23Mo7,79,10.1016/j.actamat.2016.06.063,FCC + $\mu$ + $\sigma$,M,CR + A,0.2 - 3,,,T,25,683.7,1066.6,30.4,,,,,,,
J4-38,10.1117/1.JEI.26.4.043022,CoCrFeMnNi,38,10.1117/1.JEI.26.4.043022,FCC,,HF+A,13,,,T,25,243,558,50,,,,,,processing isn't technically as cast because it's forged. so hr ,"Further going back to the original paper, i disagree with their noted elongation. Plus the paper switched two of these (https://www.tandfonline.com/doi/full/10.1080/02670836.2017.1342367?scroll=top&needAccess=true) (ef = 58)"
J4-38,10.1117/1.JEI.26.4.043022,(CoCrFeMnNi)98C2,38,10.1117/1.JEI.26.4.043022,FCC + Carbide,,HF+A,8,,,T,25,446,723,15,,,,,,processing isn't technically as cast because it's forged. so hr ,"Further going back to the original paper, i disagree with their noted elongation Plus the paper switched two of these (https://www.tandfonline.com/doi/full/10.1080/02670836.2017.1342367?scroll=top&needAccess=true) (ef = 15.5)"
J4-38,10.1117/1.JEI.26.4.043022,CoCrFeMnNi,38,10.1117/1.JEI.26.4.043022,FCC,,HF+CR+A,7,,,T,25,249,621,41,,,,,,,ef = 47
J4-38,10.1117/1.JEI.26.4.043022,(CoCrFeMnNi)98C2,38,10.1117/1.JEI.26.4.043022,FCC + Carbide,,HF+CR+A,4,,,T,25,581,857,28,,,,,,fixed grain size ,ef = 35
J4-78,10.1016/j.actamat.2015.08.076,CoCrFeNi,78,10.1016/j.actamat.2015.08.076,FCC,S,A,,,,T,25,190,453,70,,,,,,,
J4-78,10.1016/j.actamat.2015.08.076,Al4Co24Cr24Fe24Ni24Ti2,78,10.1016/j.actamat.2015.08.076,FCC,S,A,289.7,,,T,25,210,503,70,,,,,,added grain size ,
J4-78,10.1016/j.actamat.2015.08.076,Al4Co24Cr24Fe24Ni24Ti2,78,10.1016/j.actamat.2015.08.076,FCC + L12 + L21,M,CR + A,15.7,,,T,25,645,1094,39,,,,,,added grain size ,
J4-78,10.1016/j.actamat.2015.08.076,Al4Co24Cr24Fe24Ni24Ti2,78,10.1016/j.actamat.2015.08.076,FCC + L12 + L21,M,CR + A,2.8,,,T,25,1005,1273,17,,,,,,added grain size ,
J4-88,10.1016/j.ultramic.2015.06.009,Al8Co17Cr17Cu8Fe17Ni33,88,10.1016/j.ultramic.2015.06.009,,,A,,,168 $\pm$ 5,,,,,,,,,,,,
J4-88,10.1016/j.ultramic.2015.06.009,Al8Co17Cr17Cu8Fe17Ni33,88,10.1016/j.ultramic.2015.06.009,,,A,,,328 $\pm$ 7,,,,,,,,,,,,
J4,10.1016/j.matchar.2018.06.036,Al8Co17Cr17Cu8Fe17Ni33,,This Article,,,A,,,206 $\pm$ 5,,,,,,,,,,,,
J4-88,10.1016/j.ultramic.2015.06.009,Al8Co17Cr14Cu8Fe17Ni35W0.1Mo0.1Ti1,88,10.1016/j.ultramic.2015.06.009,,,AC,,,231 $\pm$ 12,,,,,,,,,,,,
J4-88,10.1016/j.ultramic.2015.06.009,Al8Co17Cr14Cu8Fe17Ni35W0.1Mo0.1Ti1,88,10.1016/j.ultramic.2015.06.009,,,A,,,178 $\pm$ 7,,,,,,,,,,,,
J4-88,10.1016/j.ultramic.2015.06.009,Al8Co17Cr14Cu8Fe17Ni35W0.1Mo0.1Ti1,88,10.1016/j.ultramic.2015.06.009,,,A,,,343 $\pm$ 6,,,,,,,,,,,,
J4,10.1016/j.matchar.2018.06.036,Al8Co17Cr14Cu8Fe17Ni35W0.1Mo0.1Ti1,,This Article,,,A,,,171 $\pm$ 7,,,,,,,,,,,,
J4-30,10.1007/s11837-015-1484-7,Al10Co25Cr8Fe15Ni36Ti6,30,10.1007/s11837-015-1484-7,,,AC,,,343 $\pm$ 22,,,,,,,,,,,,
J4-30,10.1007/s11837-015-1484-7,Al10Co25Cr8Fe15Ni36Ti6,30,10.1007/s11837-015-1484-7,,,A,,,341 $\pm$ 12,,,,,,,,,,,,
J4-30,10.1007/s11837-015-1484-7,Al10Co25Cr8Fe15Ni36Ti6,30,10.1007/s11837-015-1484-7,FCC + L12 + C1,M,A,,,345 $\pm$ 14,T,25,568,786,12,,,,,,,
J4-30,10.1007/s11837-015-1484-7,Al10Co25Cr8Fe15Ni36Ti6,30,10.1007/s11837-015-1484-7,FCC + L12 + C1,M,A,,,345 $\pm$ 18,T,25,596,1039,20,,,,,,,
J4-30,10.1007/s11837-015-1484-7,Al10Co25Cr8Fe15Ni36Ti6,30,10.1007/s11837-015-1484-7,FCC + L12 + C1,M,A,,,345 $\pm$ 14,T,700,487,702,18,,,,,,,
J4-30,10.1007/s11837-015-1484-7,Al10Co25Cr8Fe15Ni36Ti6,30,10.1007/s11837-015-1484-7,FCC + L12 + C1,M,A,,,345 $\pm$ 18,T,700,486,624,11,,,,,,,
J4-75,10.1016/j.msea.2016.11.019,Al23Cr26Fe26Ni26,75,10.1016/j.msea.2016.11.019,BCC + B2,M,AC,,,,C,25,770,,37.1,,,,,,,
J4-75,10.1016/j.msea.2016.11.019,AlCrFeNi,75,10.1016/j.msea.2016.11.019,BCC + B2,M,AC,,,,C,25,843.2,,34.6,,,,,,,
J4-75,10.1016/j.msea.2016.11.019,Al27Cr24Fe24Ni24,75,10.1016/j.msea.2016.11.019,BCC + B2,M,AC,,,,C,25,1044,,27.1,,,,,,,
J4-75,10.1016/j.msea.2016.11.019,Al29Cr24Fe24Ni24,75,10.1016/j.msea.2016.11.019,BCC + B2,M,AC,,,,C,25,906.8,,31.4,,,,,,,
J4-75,10.1016/j.msea.2016.11.019,Al30Cr23Fe23Ni23,75,10.1016/j.msea.2016.11.019,BCC + B2,M,AC,,,,C,25,1122.8,,24.7,,,,,,,
J4-73,10.1016/j.matlet.2016.01.096,Al17Cr17Fe34Ni34,73,10.1016/j.matlet.2016.01.096,BCC + B2,M,AC,,,,C,25,,,17,,,,,,,
J4-109,10.1016/j.matdes.2013.12.048,AlCoCrFeNi,109,10.1016/j.matdes.2013.12.048,BCC + B2,M,AC,,,,C,25,,,22.7,,,,,,,
J4-53,10.1016/j.jmst.2014.09.011,Al18Cr18Fe17Ni33Ti9,53,10.1016/j.jmst.2014.09.011,BCC + B2 + L12,M,AC,,,,C,25,,,16.3,,,,,,,
J4-53,10.1016/j.jmst.2014.09.011,Al18Cr18Fe17Ni33Ti9,53,10.1016/j.jmst.2014.09.011,BCC + B2 + L12,M,A,,,,C,25,,,19.8,,,,,,,
J4-50,10.1007/s11665-015-1767-8,Cr22Fe22Ni22V11W22,50,10.1007/s11665-015-1767-8,FCC + BCC + $\sigma$,M,AC,,,,C,25,,,7.3,,,,,,,
J4-110,10.1016/j.msea.2015.09.089,Al17Cr17Cu17Fe17Ni33,110,10.1016/j.msea.2015.09.089,FCC + BCC + B2,M,AC,,,,C,25,,,30,,,,,,,
J4-96,10.1134/S0031918X17060084,CoCrFeMnNi,96,10.1134/S0031918X17060084,FCC,S,A,,,,C,25,230,,75,,,,,,,
J4-96,10.1134/S0031918X17060084,Co19Cr19Fe19Mn19Ni19V5,96,10.1134/S0031918X17060084,FCC + $\sigma$,M,A,,,,C,25,200,,75,,,,,,,
J4-96,10.1134/S0031918X17060084,Co18Cr18Fe18Mn18Ni18V9,96,10.1134/S0031918X17060084,FCC + $\sigma$,M,A,,,,C,25,620,,75,,,,,,,
J4-96,10.1134/S0031918X17060084,Co17Cr17Fe17Mn17Ni17V13,96,10.1134/S0031918X17060084,FCC + $\sigma$,M,A,,,,C,25,780,,8,,,,,,,
J4-96,10.1134/S0031918X17060084,CoCrFeMnNiV,96,10.1134/S0031918X17060084,FCC + $\sigma$,M,A,,,,C,25,1700,,1,,,,,,,
J4-111,10.1016/j.msea.2015.02.072,Al7Co23Cr23Fe23Ni23,111,10.1016/j.msea.2015.02.072,FCC,S,AC,,,,C,25,,,25,,,,,,,
J4-112,10.1016/j.jallcom.2013.12.210,CoCrFeNi,112,10.1016/j.jallcom.2013.12.210,FCC,S,AC,,,,C,25,,,83,,,,,,,
J4-74,10.1016/j.actamat.2016.11.016,Al17Cr17Co17Fe17Ni33.3,74,10.1016/j.actamat.2016.11.016,FCC + B2,M,AC,,,,T,25,545,1030,16.5,,,,,,the values given by the review are a little off from the values provided by the reference itself https://sci-hub.tw/https://doi.org/10.1016/j.actamat.2016.11.016,
J4-74,10.1016/j.actamat.2016.11.016,Al16Cr16Co16Fe16Ni34.4,74,10.1016/j.actamat.2016.11.016,FCC + B2,M,AC,,,,T,25,545,1050,16.5,,,,,,the values given by the review are a little off from the values provided by the reference itself https://sci-hub.tw/https://doi.org/10.1016/j.actamat.2016.11.017,
J4-74,10.1016/j.actamat.2016.11.016,Al16Cr16Co16Fe16Ni35.5,74,10.1016/j.actamat.2016.11.016,FCC + B2,M,AC,,,,T,25,545,1110,20,,,,,,the values given by the review are a little off from the values provided by the reference itself https://sci-hub.tw/https://doi.org/10.1016/j.actamat.2016.11.018,
J4-76,10.1016/j.msea.2017.04.111,Al4Co19Cr19Cu4Fe19Ni37,76,10.1016/j.msea.2017.04.111,FCC,S,CR + A,,,,T,25,719,1048,30,,,,,,jasper got this right but the review paper got it wrong. They switched which one was two phase,
J4-76,10.1016/j.msea.2017.04.111,Al4Co19Cr19Cu4Fe19Ni37,76,10.1016/j.msea.2017.04.111,FCC + L12,M,CR + A,,,,T,25,460,732,32,,,,,,jasper got this right but the review paper got it wrong. They switched which one was two phase,
J4-86,10.1007/s11837-013-0756-3,Al8Co17Cr17Cu8Fe17Ni33,86,10.1007/s11837-013-0756-3,fcc + L12+ Cr23C6,M,AC,,,,T,25,357,459,9,,,,,,,
J4-86,10.1007/s11837-013-0756-3,Al8Co17Cr17Cu8Fe17Ni33,86,10.1007/s11837-013-0756-3,fcc + L12+ Cr23C6,M,A,,,,T,25,365,365,0.1,,,,,,,
J4-86,10.1007/s11837-013-0756-3,Al8Co17Cr17Cu8Fe17Ni33,86,10.1007/s11837-013-0756-3,FCC + L12,M,A,,,,T,25,215,489,39,,,,,,,
J4-113,10.1016/j.actamat.2015.07.004,Al9Co18Cr18Cu18Fe18Ni18,113,10.1016/j.actamat.2015.07.004,FCC1 + FCC2,M,A + CR,,,,T,25,1284,1344,7.6,,,,,,Inverted order of processing ,
J4-114,10.1016/j.jallcom.2009.10.088,Al9Co18Cr18Cu18Fe18Ni18,114,10.1016/j.jallcom.2009.10.088,FCC,S,CR,,,,T,25,1290,1400,5,,,,,,,
J4-114,10.1016/j.jallcom.2009.10.088,Al9Co18Cr18Cu18Fe18Ni18,114,10.1016/j.jallcom.2009.10.088,FCC1 + FCC2,M,CR + A,,,,T,25,650,790,27,,,,,,,
J4-42,10.1016/j.msea.2011.11.045,AlCoCrCuFeNi,42,10.1016/j.msea.2011.11.045,BCC + FCC1 + FCC2,M,AC,,,,T,25,790,790,0.2,,,,,,,
J4-42,10.1016/j.msea.2011.11.045,AlCoCrCuFeNi,42,10.1016/j.msea.2011.11.045,BCC + FCC1 + FCC2 + $\sigma$,M,HF,,,,T,25,1040,1170,1,,,,,,forging isn't as cast,
J4-72,10.1016/j.msea.2015.08.078,AlCoCrFeNi,72,10.1016/j.msea.2015.08.078,BCC + B2,M,AC,,,,T,700,395,400,1,,,,,,tests were all done at 700C ,
J4-72,10.1016/j.msea.2015.08.078,AlCoCrFeNi,72,10.1016/j.msea.2015.08.078,BCC + B2 + FCC + $\sigma$,M,HIP + A,,,,T,700,295,393,12,,,,,,tests were all done at 700C; changed processing from AC to HIPED + A,
