Unnamed: 0,REFERENCE: tag,REFERENCE: doi_x,FORMULA,PROPERTY: Type of phases,PROPERTY: Single/Multiphase,PROPERTY: synthesis method,PROPERTY: grain size ($\mu$m),PROPERTY: ROM Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: ROM Young modulus (GPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: comment,Internal Reference #,Original DOI,PROPERTY: Exp. Density (g/cm$^3$),Unnamed: 22,IDENTIFIER: Reference ID,REFERENCE: title,REFERENCE: year,REFERENCE: doi_y,REFERENCE: url,REFERENCE: doi,PROPERTY: BCC/FCC/other,PROPERTY: Processing method,PROPERTY: Microstructure,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Calculated Young modulus (GPa)
11,5,10.1016/j.actamat.2014.08.026,Co1 Cr1 Ni1,FCC,S,CR,41.0,8.3,,T,25.0,300.0,860.0,60.0,,229.0,,,,,elongation is total,,,,,37,Temperature dependence of the mechanical properties of equiatomic solid solution alloys with face-centered cubic crystal structures,2014.0,10.1016/j.actamat.2014.08.026,http://dx.doi.org/10.1016/j.actamat.2014.08.026,10.1016/j.actamat.2014.08.026,FCC,WROUGHT,FCC,8.3,229
12,5,10.1016/j.actamat.2014.08.026,Co1 Fe1 Mn1 Ni1,FCC,S,CR,48.0,8.2,,T,25.0,170.0,550.0,41.0,,205.0,,,,,elongation is total,,,,,37,Temperature dependence of the mechanical properties of equiatomic solid solution alloys with face-centered cubic crystal structures,2014.0,10.1016/j.actamat.2014.08.026,http://dx.doi.org/10.1016/j.actamat.2014.08.026,10.1016/j.actamat.2014.08.026,FCC,WROUGHT,FCC,8.3,204
13,5,10.1016/j.actamat.2014.08.026,Co1 Fe1 Ni1,FCC,S,CR,28.0,8.5,,T,25.0,211.0,513.0,31.0,,207.0,,,,,elongation is total,,,,,37,Temperature dependence of the mechanical properties of equiatomic solid solution alloys with face-centered cubic crystal structures,2014.0,10.1016/j.actamat.2014.08.026,http://dx.doi.org/10.1016/j.actamat.2014.08.026,10.1016/j.actamat.2014.08.026,FCC,WROUGHT,FCC,8.6,207
14,5,10.1016/j.actamat.2014.08.026,Co1 Mn1 Ni1,FCC,S,CR,32.0,8.4,,T,25.0,231.0,653.0,38.0,,202.0,,,,,elongation is total,,,,,37,Temperature dependence of the mechanical properties of equiatomic solid solution alloys with face-centered cubic crystal structures,2014.0,10.1016/j.actamat.2014.08.026,http://dx.doi.org/10.1016/j.actamat.2014.08.026,10.1016/j.actamat.2014.08.026,FCC,WROUGHT,FCC,8.4,202
15,5,10.1016/j.actamat.2014.08.026,Fe1 Mn1 Ni1,FCC,S,CR,30.0,8.1,,T,25.0,221.0,602.0,36.0,,203.0,,,,,elongation is total,,,,,37,Temperature dependence of the mechanical properties of equiatomic solid solution alloys with face-centered cubic crystal structures,2014.0,10.1016/j.actamat.2014.08.026,http://dx.doi.org/10.1016/j.actamat.2014.08.026,10.1016/j.actamat.2014.08.026,FCC,WROUGHT,FCC,8.1,203
16,6,10.1016/j.intermet.2015.01.004,Co1 Cr1 Fe1 Nb0.103 Ni1,FCC+Laves (C14),M,AC,175.0,8.2,,T,25.0,318.0,622.0,19.0,,,,,,,all YS recorded as +1 MPa,,,,,46,Effects of Nb additions on the microstructure and mechanical property of CoCrFeNi high-entropy alloys,2015.0,10.1016/j.intermet.2015.01.004,http://dx.doi.org/10.1016/j.intermet.2015.01.004,10.1016/j.intermet.2015.01.004,other,CAST,FCC+Laves (C14),8.2,
17,6,10.1016/j.intermet.2015.01.004,Co1 Cr1 Fe1 Nb0.155 Ni1,FCC+Laves (C14),M,AC,175.0,8.2,,T,25.0,322.0,744.0,23.0,,,,,,,all YS recorded as +1 MPa,,,,,46,Effects of Nb additions on the microstructure and mechanical property of CoCrFeNi high-entropy alloys,2015.0,10.1016/j.intermet.2015.01.004,http://dx.doi.org/10.1016/j.intermet.2015.01.004,10.1016/j.intermet.2015.01.004,other,CAST,FCC+Laves (C14),8.2,
18,6,10.1016/j.intermet.2015.01.004,Co1 Cr1 Fe1 Nb0.206 Ni1,FCC+Laves (C14),M,AC,175.0,8.2,,T,25.0,403.0,807.0,9.0,,,,,,,all YS recorded as +1 MPa,,,,,46,Effects of Nb additions on the microstructure and mechanical property of CoCrFeNi high-entropy alloys,2015.0,10.1016/j.intermet.2015.01.004,http://dx.doi.org/10.1016/j.intermet.2015.01.004,10.1016/j.intermet.2015.01.004,other,CAST,FCC+Laves (C14),8.2,
19,6,10.1016/j.intermet.2015.01.004,Co1 Cr1 Fe1 Nb0.309 Ni1,FCC+Laves (C14),M,AC,175.0,8.2,,T,25.0,479.0,879.0,4.0,,,,,,,all YS recorded as +1 MPa,,,,,46,Effects of Nb additions on the microstructure and mechanical property of CoCrFeNi high-entropy alloys,2015.0,10.1016/j.intermet.2015.01.004,http://dx.doi.org/10.1016/j.intermet.2015.01.004,10.1016/j.intermet.2015.01.004,other,CAST,FCC+Laves (C14),8.2,
20,6,10.1016/j.intermet.2015.01.004,Co1 Cr1 Fe1 Nb0.412 Ni1,FCC+Laves (C14),M,AC,175.0,8.2,,T,25.0,638.0,1004.0,1.0,,,,,,,all YS recorded as +1 MPa,,,,,46,Effects of Nb additions on the microstructure and mechanical property of CoCrFeNi high-entropy alloys,2015.0,10.1016/j.intermet.2015.01.004,http://dx.doi.org/10.1016/j.intermet.2015.01.004,10.1016/j.intermet.2015.01.004,other,CAST,FCC+Laves (C14),8.2,
21,6,10.1016/j.intermet.2015.01.004,Co1 Cr1 Fe1 Ni1,FCC,S,AC,175.0,8.2,,T,25.0,148.0,413.0,48.0,,225.0,,,,,all YS recorded as +1 MPa,,,,,46,Effects of Nb additions on the microstructure and mechanical property of CoCrFeNi high-entropy alloys,2015.0,10.1016/j.intermet.2015.01.004,http://dx.doi.org/10.1016/j.intermet.2015.01.004,10.1016/j.intermet.2015.01.004,FCC,CAST,FCC,8.2,225
22,7,10.1016/j.jallcom.2009.08.090,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,S,A,,7.7,110.0,,25.0,,,,,216.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,FCC,ANNEAL,FCC,7.9,216
23,7,10.1016/j.jallcom.2009.08.090,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,S,A,,7.7,113.0,,25.0,,,,,216.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,FCC,ANNEAL,FCC,7.9,216
24,7,10.1016/j.jallcom.2009.08.090,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,S,A,,7.5,131.0,,25.0,,,,,211.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,FCC,ANNEAL,FCC,7.7,211
25,7,10.1016/j.jallcom.2009.08.090,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,S,A,,7.5,196.0,,25.0,,,,,211.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,FCC,ANNEAL,FCC,7.7,211
26,7,10.1016/j.jallcom.2009.08.090,Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,M,A,,7.3,159.0,,25.0,,,,,208.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,other,ANNEAL,FCC+BCC,7.6,
27,7,10.1016/j.jallcom.2009.08.090,Al0.5 Co1 Cr1 Fe1 Ni1,FCC+BCC,M,A,,7.3,209.0,,25.0,,,,,208.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,other,ANNEAL,FCC+BCC,7.6,
28,7,10.1016/j.jallcom.2009.08.090,Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,M,A,,7.0,388.0,,25.0,,,,,200.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,other,ANNEAL,FCC+BCC,7.3,
29,7,10.1016/j.jallcom.2009.08.090,Al0.75 Co1 Cr1 Fe1 Ni1,FCC+BCC,M,A,,7.0,280.0,,25.0,,,,,200.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,other,ANNEAL,FCC+BCC,7.3,
30,7,10.1016/j.jallcom.2009.08.090,Al0.875 Co1 Cr1 Fe1 Ni1,BCC,S,A,,6.9,538.0,,25.0,,,,,197.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,BCC,ANNEAL,BCC,7.2,197
31,7,10.1016/j.jallcom.2009.08.090,Al0.875 Co1 Cr1 Fe1 Ni1,FCC+BCC,M,A,,6.9,361.0,,25.0,,,,,197.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,other,ANNEAL,FCC+BCC,7.2,
32,7,10.1016/j.jallcom.2009.08.090,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,S,A,,6.5,487.0,,25.0,,,,,188.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,BCC,ANNEAL,BCC,6.9,188
33,7,10.1016/j.jallcom.2009.08.090,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,S,A,,6.5,499.0,,25.0,,,,,188.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,BCC,ANNEAL,BCC,6.9,188
34,7,10.1016/j.jallcom.2009.08.090,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,S,A,,6.2,484.0,,25.0,,,,,183.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,BCC,ANNEAL,BCC,6.7,183
35,7,10.1016/j.jallcom.2009.08.090,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,S,A,,6.2,517.0,,25.0,,,,,183.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,BCC,ANNEAL,BCC,6.7,183
36,7,10.1016/j.jallcom.2009.08.090,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,S,A,,5.9,509.0,,25.0,,,,,173.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,BCC,ANNEAL,BCC,6.4,173
37,7,10.1016/j.jallcom.2009.08.090,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,S,A,,5.9,512.0,,25.0,,,,,173.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,BCC,ANNEAL,BCC,6.4,173
38,7,10.1016/j.jallcom.2009.08.090,Al1 Co1 Cr1 Fe1 Ni1,BCC,S,A,,6.7,484.0,,25.0,,,,,194.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,BCC,ANNEAL,BCC,7.1,194
39,7,10.1016/j.jallcom.2009.08.090,Al1 Co1 Cr1 Fe1 Ni1,FCC+BCC,M,A,,6.7,433.0,,25.0,,,,,194.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,other,ANNEAL,FCC+BCC,7.1,
40,7,10.1016/j.jallcom.2009.08.090,Co1 Cr1 Fe1 Ni1,FCC,S,A,,8.2,116.0,,25.0,,,,,225.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,FCC,ANNEAL,FCC,8.2,225
41,7,10.1016/j.jallcom.2009.08.090,Co1 Cr1 Fe1 Ni1,FCC,S,A,,8.2,113.0,,25.0,,,,,225.0,,,,,,,,,,54,"Microstructure and mechanical property of as-cast, -homogenized, and -deformed AlxCoCrFeNi (0≤x≤2) high-entropy alloys",2009.0,10.1016/j.jallcom.2009.08.090,http://dx.doi.org/10.1016/j.jallcom.2009.08.090,10.1016/j.jallcom.2009.08.090,FCC,ANNEAL,FCC,8.2,225
42,8,10.1007/s11837-013-0753-6,Al0.5 Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sigma,M,AC,,7.7,425.0,,25.0,,,,,,,,,,,,,,,63,Effect of Aluminum Content on Microstructure and Mechanical Properties of Al x CoCrFeMo0.5Ni High-Entropy Alloys,2013.0,10.1007/s11837-013-0753-6,http://dx.doi.org/10.1007/s11837-013-0753-6,10.1007/s11837-013-0753-6,other,CAST,FCC+Sec.,7.9,
43,8,10.1007/s11837-013-0753-6,Al1 Co0.667 Cr0.667 Fe0.667 Mo0.333 Ni0.667,B2+Sigma,M,AC,,6.6,655.0,,25.0,,,,,,,,,,,,,,,63,Effect of Aluminum Content on Microstructure and Mechanical Properties of Al x CoCrFeMo0.5Ni High-Entropy Alloys,2013.0,10.1007/s11837-013-0753-6,http://dx.doi.org/10.1007/s11837-013-0753-6,10.1007/s11837-013-0753-6,other,CAST,B2+Sec.,7.0,
44,8,10.1007/s11837-013-0753-6,Al1 Co0.5 Cr0.5 Fe0.5 Mo0.25 Ni0.5,BCC + B2,S,AC,,6.3,605.0,,25.0,,,,,185.0,,,,,,,,,,63,Effect of Aluminum Content on Microstructure and Mechanical Properties of Al x CoCrFeMo0.5Ni High-Entropy Alloys,2013.0,10.1007/s11837-013-0753-6,http://dx.doi.org/10.1007/s11837-013-0753-6,10.1007/s11837-013-0753-6,other,CAST,,6.7,
45,8,10.1007/s11837-013-0753-6,Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,B2+Sigma,M,AC,,7.1,715.0,,25.0,,,,,,,,,,,,,,,63,Effect of Aluminum Content on Microstructure and Mechanical Properties of Al x CoCrFeMo0.5Ni High-Entropy Alloys,2013.0,10.1007/s11837-013-0753-6,http://dx.doi.org/10.1007/s11837-013-0753-6,10.1007/s11837-013-0753-6,other,CAST,B2+Sec.,7.4,
46,8,10.1007/s11837-013-0753-6,Co1 Cr1 Fe1 Mo0.5 Ni1,FCC+Sigma,M,AC,,8.5,210.0,,25.0,,,,,,,,,,,,,,,63,Effect of Aluminum Content on Microstructure and Mechanical Properties of Al x CoCrFeMo0.5Ni High-Entropy Alloys,2013.0,10.1007/s11837-013-0753-6,http://dx.doi.org/10.1007/s11837-013-0753-6,10.1007/s11837-013-0753-6,other,CAST,FCC+Sec.,8.4,
47,9,10.1016/j.msea.2008.12.053,Al0.5 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,M,AC,,6.6,,C,25.0,,1600.0,,10.0,,107.0,,,,elongation is plastic ,,,,,66,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys,2009.0,10.1016/j.msea.2008.12.053,http://dx.doi.org/10.1016/j.msea.2008.12.053,10.1016/j.msea.2008.12.053,other,CAST,BCC+Laves,7.0,
48,9,10.1016/j.msea.2008.12.053,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.667,BCC + BCC,S,AC,,5.9,,C,25.0,,2110.0,,10.0,,133.0,,,,elongation is plastic ,,,,,66,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys,2009.0,10.1016/j.msea.2008.12.053,http://dx.doi.org/10.1016/j.msea.2008.12.053,10.1016/j.msea.2008.12.053,other,CAST,,6.4,
49,9,10.1016/j.msea.2008.12.053,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5 Ti0.5,BCC + BCC,S,AC,,5.6,643.0,C,25.0,,1030.0,,5.0,,94.0,,,,elongation is plastic ,,,,,66,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys,2009.0,10.1016/j.msea.2008.12.053,http://dx.doi.org/10.1016/j.msea.2008.12.053,10.1016/j.msea.2008.12.053,other,CAST,,6.1,
50,9,10.1016/j.msea.2008.12.053,Al1 Co1 Cr1 Fe1 Ni1 Ti1,BCC+Laves,M,AC,0.15000000000000002,6.2,,C,25.0,,2280.0,,6.0,,148.0,,,,elongation is plastic ,,,,,66,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys,2009.0,10.1016/j.msea.2008.12.053,http://dx.doi.org/10.1016/j.msea.2008.12.053,10.1016/j.msea.2008.12.053,other,CAST,BCC+Laves,6.7,
51,9,10.1016/j.msea.2008.12.053,Co1 Cr1 Fe1 Ni1 Ti1,FCC,S,AC,,7.2,,C,25.0,,2020.0,,9.0,,135.0,,,,elongation is plastic ,,,,,66,Microstructure and mechanical properties of CoCrFeNiTiAlx high-entropy alloys,2009.0,10.1016/j.msea.2008.12.053,http://dx.doi.org/10.1016/j.msea.2008.12.053,10.1016/j.msea.2008.12.053,FCC,CAST,FCC,7.5,203
52,10,10.1016/j.actamat.2011.06.041,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Ni3Ti,M,A,,7.2,717.0,,25.0,,,,,,,,,,,,,,,1,Microstructure and wear behavior of AlxCo1.5CrFeNi1.5Tiy high-entropy alloys,2011.0,10.1016/j.actamat.2011.06.041,http://dx.doi.org/10.1016/j.actamat.2011.06.041,10.1016/j.actamat.2011.06.041,other,ANNEAL,FCC+Sec.,7.5,
53,10,10.1016/j.actamat.2011.06.041,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,S,A,,7.6,487.0,,25.0,,,,,206.0,,,,,,,,,,1,Microstructure and wear behavior of AlxCo1.5CrFeNi1.5Tiy high-entropy alloys,2011.0,10.1016/j.actamat.2011.06.041,http://dx.doi.org/10.1016/j.actamat.2011.06.041,10.1016/j.actamat.2011.06.041,FCC,ANNEAL,FCC,7.8,206
54,10,10.1016/j.actamat.2011.06.041,Co1 Cr0.667 Fe0.667 Ni1 Ti0.667,FCC+Ni3Ti,M,A,,7.4,654.0,,25.0,,,,,,,,,,,,,,,1,Microstructure and wear behavior of AlxCo1.5CrFeNi1.5Tiy high-entropy alloys,2011.0,10.1016/j.actamat.2011.06.041,http://dx.doi.org/10.1016/j.actamat.2011.06.041,10.1016/j.actamat.2011.06.041,other,ANNEAL,FCC+Sec.,7.7,
